StockName,StockUrl,Status,Buy At,StopLoss
Ujaas Energy,https://www.moneycontrol.com/tech_charts/bse/his/s16.csv,BUY,3.2,3.14
G G Engineering,https://www.moneycontrol.com/tech_charts/bse/his/e08.csv,BUY,36.5,36.4
Delta,https://www.moneycontrol.com/tech_charts/bse/his/dm04.csv,BUY,25.25,25.0
Dynavision,https://www.moneycontrol.com/tech_charts/bse/his/d02.csv,BUY,40.0,39.95
Taylormade Rene,https://www.moneycontrol.com/tech_charts/bse/his/trl.csv,BUY,3.07,3.07
Silver Oak Comm,https://www.moneycontrol.com/tech_charts/bse/his/soc.csv,BUY,4.53,4.53
De Nora India,https://www.moneycontrol.com/tech_charts/bse/his/tc08.csv,BUY,156.45,149.6
Centum Electron,https://www.moneycontrol.com/tech_charts/bse/his/cmc01.csv,BUY,287.35,251.0
Websol Energy,https://www.moneycontrol.com/tech_charts/bse/his/wsl.csv,BUY,16.6,15.92
Indosolar,https://www.moneycontrol.com/tech_charts/bse/his/i10.csv,BUY,0.58,0.57
Ruttonsha Intl,https://www.moneycontrol.com/tech_charts/bse/his/rir.csv,BUY,30.9,30.9
SPEL Semiconduc,https://www.moneycontrol.com/tech_charts/bse/his/spi01.csv,BUY,3.8,3.52
BCC Fuba,https://www.moneycontrol.com/tech_charts/bse/his/bcc.csv,BUY,7.8,7.41
Gujarat Bitumen,https://www.moneycontrol.com/tech_charts/bse/his/gb06.csv,BUY,0.21,0.2
Gujarat Bitumen,https://www.moneycontrol.com/tech_charts/bse/his/gb06.csv,BUY,0.21,0.2
Kirloskar Ind,https://www.moneycontrol.com/tech_charts/bse/his/koe.csv,BUY,454.0,454.0
Eimco Elecon,https://www.moneycontrol.com/tech_charts/bse/his/eei.csv,BUY,211.0,211.0
Josts Engineers,https://www.moneycontrol.com/tech_charts/bse/his/jec.csv,BUY,589.0,560.0
Alfred Herbert,https://www.moneycontrol.com/tech_charts/bse/his/ahi.csv,BUY,550.55,517.5
Cranex,https://www.moneycontrol.com/tech_charts/bse/his/c08.csv,BUY,9.0,8.55
Medico Intercon,https://www.moneycontrol.com/tech_charts/bse/his/ilf04.csv,BUY,15.05,15.0
VBC Ferro,https://www.moneycontrol.com/tech_charts/bse/his/vbc.csv,BUY,17.55,15.95
Galaxy Cloud,https://www.moneycontrol.com/tech_charts/bse/his/ge04.csv,BUY,14.7,14.3
BAG Films,https://www.moneycontrol.com/tech_charts/bse/his/bag.csv,BUY,1.84,1.71
Pritish Nandy,https://www.moneycontrol.com/tech_charts/bse/his/pnc.csv,BUY,11.64,10.75
DQ Entertain,https://www.moneycontrol.com/tech_charts/bse/his/dei01.csv,BUY,1.2,1.18
Oswal Greentech,https://www.moneycontrol.com/tech_charts/bse/his/og02.csv,BUY,9.01,9.0
Stanrose Financ,https://www.moneycontrol.com/tech_charts/bse/his/smi01.csv,BUY,73.5,66.8
Walchand People,https://www.moneycontrol.com/tech_charts/bse/his/wc.csv,BUY,44.75,44.0
Superior Finlea,https://www.moneycontrol.com/tech_charts/bse/his/sfl11.csv,BUY,29.65,29.6
Veerhealth Care,https://www.moneycontrol.com/tech_charts/bse/his/ni08.csv,BUY,7.2,6.9
Symbiox Invest,https://www.moneycontrol.com/tech_charts/bse/his/sit03.csv,BUY,0.23,0.21
Shriram City,https://www.moneycontrol.com/tech_charts/bse/his/scu.csv,BUY,787.85,725.0
Tata Inv Corp,https://www.moneycontrol.com/tech_charts/bse/his/tic.csv,BUY,679.25,668.55
IDFC,https://www.moneycontrol.com/tech_charts/bse/his/idf.csv,BUY,15.42,15.05
Mukesh Babu Fin,https://www.moneycontrol.com/tech_charts/bse/his/mbf.csv,BUY,117.95,96.55
Leading Leasing,https://www.moneycontrol.com/tech_charts/bse/his/llf.csv,BUY,114.95,105.65
Starteck Financ,https://www.moneycontrol.com/tech_charts/bse/his/nma.csv,BUY,46.7,44.9
Mangalam Ind,https://www.moneycontrol.com/tech_charts/bse/his/mif03.csv,BUY,0.24,0.2
Sangam Renewabl,https://www.moneycontrol.com/tech_charts/bse/his/sa13.csv,BUY,10.1,9.3
TCFC Finance,https://www.moneycontrol.com/tech_charts/bse/his/tcf01.csv,BUY,19.35,17.15
Pro Fin Capital,https://www.moneycontrol.com/tech_charts/bse/his/pfc.csv,BUY,20.0,18.05
Williamson Mago,https://www.moneycontrol.com/tech_charts/bse/his/wmc.csv,BUY,12.51,10.37
