Company,Shortname,Link
Lupin,LC03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L
Colgate,CPI,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
Eicher Motors,EM,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
Abbott India,KP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
P and G,PGI,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
Cadila Health,CHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
Grasim,GI01,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
DLF,D04,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
Havells India,HI01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
Bharti Infratel,BI26,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14
Ambuja Cements,GAC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Petronet LNG,PLN,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN
IGL,IG04,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Alkem Lab,AL16,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Tata Steel,TIS,https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS
HPCL,HPC,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
Bandhan Bank,BB09,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
Yes Bank,YB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB
Muthoot Finance,MF19,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10
Bosch,MIC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
PNB,PNB05,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05
Aurobindo Pharm,AP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Vedanta,SG,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG
Adani Green Ene,ADANI54145,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
IndusInd Bank,IIB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
TATA Cons. Prod,TT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT
Embassy Office ,EOP,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/embassyofficeparksreit/EOP
Info Edge,IEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
Hindalco,H,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
NMDC,NMD01,https://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02
United Brewerie,UBB,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedbreweries/UB02
UPL,SI10,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04
GlaxoSmithKline,GI,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
L&T Infotech,LI09,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12
MRF,MRF,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
Honeywell Autom,TH,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
Bajaj Holdings,BA,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Container Corp,CCI,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
Power Finance,PFC02,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02
Whirlpool,WI,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI
Grindwell Norto,GN,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
Carborundum,CU,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
Wendt,WI05,https://www.moneycontrol.com/india/stockpricequote/abrasives/wendtindia/WI05
Hindustan Aeron,HAL,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
Taneja Aerospac,TAA,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tanejaaerospaceaviation/TAA
TAAL Enterprise,TAA01,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/taalenterprises/TAA01
Bombay Burmah,BBT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
Kaveri Seed,KSC01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01
Nath Bio-Genes,NBG,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nathbiogenes/NBG
Goodricke Group,GG02,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/goodrickegroup/GG02
JK Agri Genetic,JKA01,https://www.moneycontrol.com/india/stockpricequote/fertilisers/jkagrigenetics/JKA03
Harrisons Malay,HM02,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/harrisonsmalyalam/HM02
Dhunseri Tea,DTI03,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/dhunseriteaindustries/DTI03
Joonktollee Tea,JTI03,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/joonktolleeteaindustries/JTI03
Transchem,T03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/transchem/T03
Agri-Tech,ATI02,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
Diana Tea,DTC,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/dianateacompany/DTC
Nagarjuna Ag,NA03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nagarjunaagritech/NA03
Camson Seeds,CS21,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/camsonseeds/CS22
Kanel Ind,KOE02,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/kanelindustries/KOE02
Beeyu Overseas,BO01,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/beeyuoverseas/BO01
Voltas,V,https://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V
Johnson Control,AA02,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
Blue Star,BS,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
Amber Enterpris,AEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
Interglobe Avi,IA05,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
SpiceJet,ML04,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01
Jet Airways,JA01,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01
Global Vectra,GVH,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH
NALCO,NAC,https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
Arfin India,AI64,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/arfinindia/AI70
PG Foils,PGF,https://www.moneycontrol.com/india/stockpricequote/aluminium/pgfoils/PGF
Maan Aluminium,MA03,https://www.moneycontrol.com/india/stockpricequote/aluminium/maanaluminium/MA03
Manaksia Alumin,MAC04,https://www.moneycontrol.com/india/stockpricequote/aluminium/manaksiaaluminiumcompany/MAC03
Sacheta Metals,SM12,https://www.moneycontrol.com/india/stockpricequote/aluminium/sachetametals/SM12
Hind Aluminium,APA,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindaluminiumindustries/HAI
Century Extr,CE02,https://www.moneycontrol.com/india/stockpricequote/aluminium/centuryextrusions/CE02
Galada Telecom,GPT,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/galadapowertelecommunications/GPT
Wonderla,WH03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01
Nicco Parks,NPR01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/niccoparkresorts/NPR01
Avanti Feeds,AF21,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
Apex Frozen,AFF,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/apexfrozenfoods/AFF
Waterbase,W01,https://www.moneycontrol.com/india/stockpricequote/aquaculture/waterbase/W04
Coastal Corp,CTL,https://www.moneycontrol.com/india/stockpricequote/aquaculture/coastaltrawlers/CTL
Zeal Aqua ,ZA01,https://www.moneycontrol.com/india/stockpricequote/aquaculture/zealaqua/ZA
Varroc Engineer,VE08,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/varrocengineering/VE08
Pricol,PIC01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pricol/P9
Rane Brake,RBL01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01
GNA Axles,A11,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gnaaxles/A03
Enkei Wheels,EWI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/enkeiwheelsindia/EWI
Rajratan Global,RGW,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/rajratanglobalwire/RGW01
Frontier Spring,FS02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/frontiersprings/FS02
Kinetic Eng,KE,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/kineticengineering/KE
Sal Automotive,SA14,https://www.moneycontrol.com/india/stockpricequote/autotractors/swarajautomotives/SA15
Subros,S07,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/subros/S07
Bosch,MIC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
Motherson Sumi,MSS01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01
Sundaram-Clayto,SC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundaramclayton/SC
Mah Scooters,MS01,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
Sandhar Technol,STL05,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sandhartechnologies/STl06
Ind Motor Parts,IMP02,https://www.moneycontrol.com/india/stockpricequote/trading/indiamotorpartsaccessories/IMP03
Automotive Axle,AA06,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Talbros Eng,TE15,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosengineering/TE15
Schaeffler Ind,FPB,https://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG
SKF India,SKF,https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01
Timken,TT04,https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23
NRB Bearings,NRB,https://www.moneycontrol.com/india/stockpricequote/bearings/nrbbearings/NRB
Menon Bearings,MB01,https://www.moneycontrol.com/india/stockpricequote/bearings/menonbearings/MB01
Bimetal Bearing,BB04,https://www.moneycontrol.com/india/stockpricequote/bearings/bimetalbearings/BB04
Benara Bearings,BBP01,https://www.moneycontrol.com/india/stockpricequote/diversified/benarabearingspistons/BBP01
SNL Bearings,SNB,https://www.moneycontrol.com/india/stockpricequote/bearings/snlbearings/SNB
Galaxy Bearings,GB,https://www.moneycontrol.com/india/stockpricequote/bearings/galaxybearings/GB
Austin Eng,AEC04,https://www.moneycontrol.com/india/stockpricequote/bearings/austinengineeringcompany/AEC04
Hind Composites,HC06,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/HC06
Sundaram Brake,SBL,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundarambrakelinings/SBL
Auto Corp Goa,ACG,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automobilecorporationgoa/ACG
Mahindra CIE,MAS,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
RamkrishnaForge,RF16,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17
MM Forgings,MMF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mmforgings/MMF
Steelcast,S06,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/steelcast/S06
PTC Industries,PTC02,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/ptcindustries/PTC03
Invest and Prec,IPC01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/investmentprecisioncastings/IPC01
Uni Abex,UAA,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/uniabexalloyproducts/UAA
Magna Electro,MEC,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/magnaelectrocastings/MEC
